s,x,y,yaw,curvature,csv_speed,curve_speed,reference_speed
0.000000000,-0.014336000,-1.999994000,0.000081019,-0.000150536,0.007880000,41.693167247,0.007880000
0.250000000,0.195621998,-1.999984627,0.000014598,-0.000151375,1.129945088,41.677977234,0.866061253
0.500000000,0.445621998,-1.999987285,-0.000009036,-0.000152148,1.595967056,41.663989220,1.224770221
0.750000000,0.695621998,-1.999989145,-0.000008667,-0.000044845,1.898958919,43.751102665,1.500020698
1.000000000,0.945621998,-1.999991619,-0.000011133,-0.000010195,2.137373653,44.495119063,1.732068733
1.250000000,1.195621998,-1.999994711,-0.000010601,-0.000002367,2.337686655,44.668531079,1.936507706
1.500000000,1.445621998,-1.999996919,-0.000010283,-0.000002326,2.510237495,44.669428917,2.121334979
1.750000000,1.695621998,-1.999999853,-0.000011535,-0.000002890,2.660277196,44.656876228,2.291301398
2.000000000,1.945621998,-2.000002687,-0.000012085,-0.000004520,2.786591567,44.620638256,2.449502418
2.250000000,2.195621998,-2.000005895,-0.000013532,-0.000004667,2.892066160,44.617357322,2.598088161
2.500000000,2.445621998,-2.000009453,-0.000015427,-0.000059154,2.983419185,43.454564412,2.738624124
2.750000000,2.695621998,-2.000013609,-0.000016755,-0.000532876,3.065319357,36.121138917,2.872292132
3.000000000,2.945621998,-2.000017830,-0.000016731,-0.002426199,3.141045225,24.160654333,3.000010349
3.250000000,3.195621998,-2.000021974,-0.000154775,-0.006048662,3.211701601,16.844636820,3.122508942
3.500000000,3.445621974,-2.000095218,-0.001203034,-0.009991403,3.277984933,13.489269331,3.240379931
3.750000000,3.695621262,-2.000623490,-0.004891444,-0.012540962,3.333736335,12.153188709,3.333736335
4.000000000,3.945613417,-2.002540918,-0.010262385,-0.012473697,3.387117569,12.183487107,3.387117569
4.250000000,4.195592386,-2.005754567,-0.014749581,-0.009257148,3.439445225,13.963738074,3.439445225
4.500000000,4.445557744,-2.009915422,-0.016774307,-0.004181914,3.486747635,19.645808228,3.486747635
4.750000000,4.695522018,-2.014141326,-0.015767727,0.000493931,3.535276805,36.588927777,3.535276805
5.000000000,4.945495155,-2.017798952,-0.013469584,0.003583758,3.565270724,20.888351547,3.565270724
5.250000000,5.195476153,-2.020875908,-0.012139026,0.004475191,3.578970993,19.112405239,3.578970993
5.500000000,5.445458235,-2.023868314,-0.011638127,0.003197319,3.596065044,21.828756558,3.596065044
5.750000000,5.695442245,-2.026694839,-0.010926375,0.001358912,3.615858134,29.117835179,3.615858134
6.000000000,5.945428333,-2.029331393,-0.010427682,0.000336845,3.635414077,38.678928934,3.635414077
6.250000000,6.195415026,-2.031908586,-0.010816331,-0.000244148,3.652933792,40.093958743,3.652933792
